datetime	USA	Canada	Mexico	Italy	France	Germany	Spain	UK	Japan	S. Korea	India	Philippines	Brazil	Venezuela	Peru	South Africa	Egypt	Nigeria	Ethiopia	Iran	Israel	Australia

2020-07-10 05:15:04.163593	0.9562032222747803	0.28307870030403137	0.2189381718635559	0.40085291862487793	0.26058655977249146	0.2377520054578781	0.541240930557251	0.423682302236557	0.015950793400406837	0.02601562812924385	0.057521700859069824	0.04722895845770836	0.8275817036628723	0.028168579563498497	0.9597519636154175	0.40186187624931335	0.0774460956454277	0.01467403769493103	0.005892300978302956	0.29818931221961975	0.4105234444141388	0.03552565351128578	
2020-07-10 17:15:04.406244	0.9713136553764343	0.28355830907821655	0.2189381718635559	0.40130940079689026	0.26159462332725525	0.23798353970050812	0.543063223361969	0.4244365394115448	0.015950793400406837	0.02601562812924385	0.057521700859069824	0.048287533223629	0.8322237133979797	0.02944161556661129	0.9597519636154175	0.4226817190647125	0.0774460956454277	0.01491610612720251	0.006193265318870544	0.30088239908218384	0.4189920127391815	0.03602369502186775	
2020-07-11 05:15:04.516205	0.9783060550689697	0.2838338613510132	0.22428280115127563	0.40130940079689026	0.26159462332725525	0.2382127046585083	0.543063223361969	0.4244365394115448	0.015950793400406837	0.026083894073963165	0.05948647856712341	0.048287533223629	0.848862886428833	0.030957302078604698	0.9694511294364929	0.4226817190647125	0.07840471714735031	0.015195044688880444	0.006193265318870544	0.30088239908218384	0.4189920127391815	0.036702126264572144	
2020-07-11 17:15:04.146323	0.9942499995231628	0.28441938757896423	0.22428280115127563	0.40162038803100586	0.26159462332725525	0.23847289383411407	0.543063223361969	0.4256443977355957	0.015950793400406837	0.026083894073963165	0.05948647856712341	0.049481168389320374	0.8518517017364502	0.030957302078604698	0.9694511294364929	0.4226817190647125	0.07840471714735031	0.015195044688880444	0.006193265318870544	0.30088239908218384	0.4189920127391815	0.036702126264572144	
2020-07-13 19:38:40.084047	1.0170657634735107	0.2850658893585205	0.2324855476617813	0.40200740098953247	0.26159462332725525	0.23864954710006714	0.543063223361969	0.42738261818885803	0.015950793400406837	0.026290645822882652	0.06364139169454575	0.052021753042936325	0.8779550194740295	0.033285342156887054	0.989710807800293	0.46576988697052	0.08019786328077316	0.015808705240488052	0.006193265318870544	0.3063387870788574	0.4467661380767822	0.03841978311538696	
2020-07-14 05:15:04.676571	1.0357807874679565	0.28656288981437683	0.23611921072006226	0.4022868871688843	0.2640841603279114	0.2392236441373825	0.5474371314048767	0.42738261818885803	0.015950793400406837	0.026355011388659477	0.06570646166801453	0.052021753042936325	0.8867952823638916	0.03413637727499008	1.0012266635894775	0.4852510094642639	0.08110762387514114	0.016257429495453835	0.006755182519555092	0.30913546681404114	0.4694336950778961	0.03941194340586662	
2020-07-15 05:15:03.741116	1.0525308847427368	0.28743988275527954	0.24158796668052673	0.4024754762649536	0.2640841603279114	0.2396187037229538	0.5488616228103638	0.42920923233032227	0.015950793400406837	0.02643108367919922	0.06783898919820786	0.05251362547278404	0.9064871668815613	0.03413637727499008	1.0125818252563477	0.5029482245445251	0.08110762387514114	0.016257429495453835	0.006755182519555092	0.3121369183063507	0.4694336950778961	0.04040802642703056	
2020-07-17 05:15:04.183663	1.067636489868164	0.28950124979019165	0.2513256072998047	0.4024754762649536	0.2640841603279114	0.2396187037229538	0.5488616228103638	0.4309459626674652	0.01809822767972946	0.026667091995477676	0.07274121791124344	0.055909283459186554	0.9478469491004944	0.03817000612616539	1.0359927415847778	0.5466669797897339	0.08381443470716476	0.016257429495453835	0.007371899671852589	0.31795644760131836	0.5321335196495056	0.04405117779970169	
2020-07-18 05:15:04.239582	1.1110039949417114	0.28950124979019165	0.2569541037082672	0.4024754762649536	0.2640841603279114	0.2396187037229538	0.5488616228103638	0.4342617988586426	0.01809822767972946	0.02674316056072712	0.07526903599500656	0.05749259144067764	0.9711768627166748	0.03935512527823448	1.0479756593704224	0.5692151188850403	0.08381443470716476	0.016257429495453835	0.007371899671852589	0.32078883051872253	0.5377599596977234	0.04405117779970169	
2020-07-18 17:15:04.179487	1.1110039949417114	0.2910141348838806	0.2569541037082672	0.4024754762649536	0.26760318875312805	0.2396187037229538	0.5488616228103638	0.4331761598587036	0.019080229103565216	0.02674316056072712	0.07526903599500656	0.059594232589006424	0.9711768627166748	0.03935512527823448	1.0479756593704224	0.591614842414856	0.08381443470716476	0.016257429495453835	0.007371899671852589	0.3233675956726074	0.5377599596977234	0.04405117779970169	
2020-07-21 21:01:48.748392	1.1995887756347656	0.2959476113319397	0.27099087834358215	0.40480419993400574	0.271684467792511	0.24335211515426636	0.5693407654762268	0.43575549125671387	0.020348450168967247	0.02694796212017536	0.0837092250585556	0.06457684189081192	1.0192594528198242	0.04492202401161194	1.0981699228286743	0.6437471508979797	0.08704599738121033	0.01833757385611534	0.009630875661969185	0.33196476101875305	0.6243634819984436	0.048047278076410294	
2020-07-22 05:15:04.544892	1.1995887756347656	0.2959476113319397	0.2763107120990753	0.40480419993400574	0.271684467792511	0.24335211515426636	0.5693407654762268	0.43575549125671387	0.020348450168967247	0.027070842683315277	0.08644284307956696	0.06457684189081192	1.0192594528198242	0.04492202401161194	1.0981699228286743	0.6437471508979797	0.08704599738121033	0.01833757385611534	0.009630875661969185	0.33196476101875305	0.6315380930900574	0.048047278076410294	
